icao_code,model,ac_span,ac_length,mtow,wct
A20N,A-320neo,117.45,123.27,73500,M
A21N,A-321neo,117.45,146.03,96500,M
A306,A300-600 (B4/C4-600),147.14,177.43,363760,H
A310,A310-200,144.03,153.16,317465,H
A318,A318-100,111.88,103.18,149914,M
A319,A319-100 Sharklet,117.45,111.02,168653,M
A320,A320-200 Sharklet,117.45,123.27,171961,M
A321,A321-100 Sharklet,117.45,146.03,196211,M
A332,A330-200,197.83,193.57,533519,H
A333,A330-300,197.83,208.99,533519,H
A343,A340-300,197.83,208.96,609578,H
A346,A340-600,208.17,247.24,837756,H
A359,A350-900 XWB,212.42,219.42,617300,H
A35K,A350-1000 XWB,212.42,242.42,681000,H
A388,A380-800,261.65,238.62,1267658,H
AT72,ATR-72-101/102,88.75,89.13,44070,M
AT75,ATR-72-500,88.747,89.14,22500,M
AT76,ATR-72-600,88.747,89.14,23000,M
B733,737-300 with winglets,102.08,109.58,139500,M
B734,737-400,94.75,119.58,150000,M
B735,737-500,94.75,101.75,136000,M
B736,737-600 with winglets,117.42,102.5,144500,M
B737,737-700 with winglets,117.42,110.33,154500,M
B738,737-800 with upper and lower winglets,117.83,129.5,174200,M
B739,737-900 with upper and lower winglets,117.83,138.17,174200,M
B744,747-400. 400 COMBI,213,231.85,875000,H
B748,747-8,224.42,250.17,987000,H
B752,757-200. -200PF with winglets,134.75,155.25,255500,M
B753,757-300 with winglets,134.75,178.58,270000,M
B762,767-200,156.08,159.17,315000,H
B763,767-300ER with winglets,167,180.25,412000,H
B764,767-400ER,170.33,201.33,450000,H
B772,777-200LR,212.58,209.08,766000,H
B77L,777-200LR,199.803,208.99,347450,H
B77W,777-300ER,212.58,242.33,775000,H
B788,787-8 Dreamliner,197.25,186.08,502500,H
B789,787-9 Dreamliner,197.25,206.08,560000,H
B78X,BOEING 787-10 Dreamliner,197.178,224.081,252000,H
BCS1,A220-100,115.08,114.75,134000,M
BCS3,A220-300,115.08,127,149000,M
CRJ9,BOMBARDIER Regional Jet CRJ-900,76.444,118.766,36500,M
CRJX,CL-600 Regional Jet CRJ-1000,85.958,128.281,39000,M
DH8D,Dash 8 Series 400 (DHC-8-400/401/402),93.25,107.75,64500,M
E190,EMB 195 AR,94.25,126.83,115280,M
E195,ERJ-190-200,115.157,136.155,61500,M
F50,F50,95.144,82.677,20820,M
F900,Falcon 900LX,70.17,66.31,49000,M
GLEX,Global 6000/Express (BD-700-1A10),94,99.42,99500,M
GLF4,G350 (less range than its big brother the G450),77.83,89.33,70900,M
