icao,name,terminal
AAL,American Airlines,1
AAR,Asiana Airlines,1
ABG,Royal Flight,2
ABY,Air Arabia,1
ACA,Air Canada,1
ADR,Adria Airways,1
AEA,Air Europa,1
AEE,Aegean Airlines,1
AFL,Aeroflot,1
AFR,Air France,1
AIZ,Arkia Israeli Airlines,1
ALK,SriLankan Airlines,1
AMC,Malta Air,2
AMX,AeroMexico,1
ANA,All Nippon Airways - ANA,1
ANE,Air Nostrum,1
ANZ,Air New Zealand,1
ARG,Aerolineas Argentinas,1
ARR,Air Armenia,2
ART,SmartLynx Airlines,2
ASL,Air Serbia,2
AUA,Austrian Airlines,2
AUI,Ukraine International Airlines,1
AVA,Avianca,1
AZA,Alitalia,1
AZU,Azul,1
BAW,British Airways,1
BBG,Blue Bird Airways,2
BEL,Brussels Airlines,1
BMS,Blue Air,2
BOV,Boliviana de Aviacion (BoA),1
BPA,Blue Panorama Airlines,2
BRU,Belavia,2
BTI,Air Baltic,1
CAL,China Airlines,1
CCA,Air China,1
CES,China Eastern Airlines,1
CFE,BA Cityflyer,1
CFG,Condor,2
CHH,Hainan Airlines,1
CPA,Cathay Pacific,1
CSA,Czech Airlines,1
CSN,China Southern Airlines,1
CTN,Croatia Airlines,1
CXA,Xiamen Airlines,1
DAH,Air Algerie,1
DAL,Delta Air Lines,1
DLH,Lufthansa,1
DTR,Danish Air Transport,2
EIN,Aer Lingus,2
ELY,El Al Israel Airlines,1
ENT,Enter Air,2
ETD,Etihad Airways,1
ETH,Ethiopian Airlines,1
EVE,Evelop,2
EWE,Eurowings Europe,2
EWG,Eurowings,2
EXS,Jet2.com,2
EZS,Easyjet Switzerland,2
EZY,Easyjet,2
FEG,Fly Egypt,2
FIN,Finnair,1
FLI,Atlantic Airways,2
FOO,Anisec,1
FPO,ASL Airlines France,2
FXT,Flexflight,2
GIA,Garuda Indonesia,1
GJT,GetJet Airlines,2
GLO,Gol,1
GMI,Germania,2
GWI,Germanwings,2
HFM,Hi Fly Malta,2
HFY,Hi Fly,2
HLX,TUIfly,2
HVN,Vietnam Airlines,1
IAE,Iraero Airlines,2
IBE,Iberia,1
IBK,Norwegian Air International,2
IRM,Mahan Air,2
JAF,TUI fly Belgium,2
JAL,JAL - Japan Airlines,1
KAL,Korean Air,1
KAR,Pegas Air,2
KKK,Atlasglobal,1
KLM,KLM,1
KQA,Kenya Airways,1
KTK,Azur Air,2
KZU,ULS Airlines Cargo,1
LAN,LATAM Airlines,1
LAV,AlbaStar,2
LDM,Laudamotion,2
LGL,Luxair,2
LOT,LOT Polish Airlines,1
LPE,LATAM Airlines Peru,1
LZB,Bulgaria Air,2
MAC,Air Arabia Maroc,2
MAS,Malaysia Airlines,1
MAU,Air Mauritius,1
MEA,Middle East Airlines,1
MGX,Montenegro Airlines,1
MHV,MHS Aviation GmbH,2
MLD,Air Moldova,2
MMZ,euroAtlantic Airways,2
MSR,Egyptair,1
NAX,Norwegian Air,2
NGT,Armenia Aircompany,2
NIA,Nile Air,2
NMA,Nesma Airlines,2
NSW,Norwegian Air Sweden,2
NVD,Avion Express,2
OAW,Helvetic Airways,1
OMA,Oman Air,1
PGA,Portugalia Airlines,1
PGT,Pegasus Airlines,2
PIA,Pakistan International Airlines,2
PLM,Wamos Air,2
QFA,Qantas,1
QGA,Wind Rose Aviation Company,2
QTR,Qatar Airways,1
RAM,Royal Air Maroc,1
REU,Air Austral,1
RJA,Royal Jordanian,1
ROT,Tarom,1
ROU,Air Canada Rouge,1
RYR,Ryanair,2
RZO,Azores Airlines,1
SAA,South African Airways,1
SAS,SAS Scandinavian Airlines,1
SBI,S7 Airlines,1
SDM,Rossiya-Russian Airlines,1
SDR,City Airline,2
SIA,Singapore Airlines,1
SQP,SkyUP Airlines,2
SVA,Saudia,1
SVR,Ural Airlines,2
SWR,SWISS,1
SWT,Swiftair,2
TAM,LATAM Airlines Brasil,1
TAP,TAP Air Portugal,1
TAR,Tunisair,1
TCX,Thomas Cook Airlines,2
TGZ,Georgian Airways,2
THA,Thai Airways International,1
THY,Turkish Airlines,1
TRA,Transavia.com,2
TSC,Air Transat,2
TUI,TUI Airways,2
TVF,Transavia France,2
TVL,Travel Service,2
TVP,Travel Service Polska,2
TVQ,SmartWings Slovakia,2
TVS,SmartWings,1
TYA,NordStar,1
UAE,Emirates,1
UAL,United Airlines,1
UTN,Azur Air Ukraine,2
UZB,Uzbekistan Airways,1
VLG,Vueling,1
VOZ,Virgin Australia,1
VTE,Corporate Flight Management,2
WJA,WestJet,2
WLB,Wings of Lebanon,2
WOW,WOW Air,1
WRC,Windrose Airlines,2
WZZ,Wizz Air,2
